id_venta;fecha_venta;id_empleado;antiguedad_vendedor;id_cliente;nombre_cliente;email_cliente;genero_cliente;edad_cliente;ciudad_cliente;region_cliente;canal_venta;producto;categoria_producto;precio_unitario;cantidad;descuento_pct;monto_total
29;2023-01-30;62;4;110;Flavia Estela Cruz Castro;cliente110@mail.cl;Mujer;37.0;Puerto Montt;;App;Polera;;12000;2;0.0;24000.0
30;2023-01-31;63;5;122;Carlos Aranda-Ortiz;cliente122@mail.cl;Mujer;27.0;Rancagua;O'Higgins;App;Perfume;Belleza;35000;3;0.0;105000.0
31;2023-02-01;45;2;162;Francisco Ramírez Faúndez;cliente162@mail.cl;Mujer;47.0;Talcahuano;Biobío;Web;TV;Electrohogar;650000;1;0.1;585000.0
32;2023-02-02;65;0;43;Cristóbal Pastén Leal;cliente43@mail.cl;Hombre;36.0;Rancagua;O'Higgins;Web;TV;;650000;2;0.0;1300000.0
33;2023-02-03;12;0;2;Rosa Gaete Castro;cliente2@mail.cl;Hombre;36.0;Viña del Mar;Valparaíso;Tienda;Smartphone;Tecnología;450000;2;0.0;900000.0
34;2023-02-04;18;1;127;Roberto Moreno Jorquera;cliente127@mail.cl;Mujer;26.0;Talcahuano;;Tienda;Perfume;;35000;1;0.1;31500.0
35;2023-02-05;19;5;246;Josefa Segura Verdugo;cliente246@mail.cl;Hombre;33.0;Temuco;La Araucanía;Web;Lavadora;Electrohogar;700000;2;0.0;1400000.0
36;2023-02-06;43;0;45;Miguel Roberto Villagrán Iturra;cliente45@mail.cl;Hombre;20.0;Santiago;Región Metropolitana;Tienda;Lavadora;Electrohogar;700000;1;0.0;700000.0
37;2023-02-07;17;0;50;Jorge Joaquín Sánchez Leiva;cliente50@mail.cl;Hombre;18.0;Santiago;;App;Refrigerador;Electrohogar;800000;1;0.0;800000.0
38;2023-02-08;24;3;212;Jairo Ian Villanueva Orellana;cliente212@mail.cl;Hombre;51.0;La Serena;Coquimbo;App;Notebook;;750000;3;0.0;2250000.0
39;2023-02-09;20;0;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Temuco;La Araucanía;Web;Notebook;Tecnología;750000;2;0.05;1425000.0
40;2023-02-10;10;7;271;Ana Varela López;cliente271@mail.cl;Mujer;55.0;Valparaíso;;Tienda;TV;Electrohogar;650000;1;0.0;650000.0
41;2023-02-11;25;3;238;Manuel Rodríguez Pérez;cliente238@mail.cl;Hombre;40.0;Puerto Montt;Los Lagos;Tienda;Perfume;;35000;1;0.0;35000.0
42;2023-02-12;23;0;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Concepción;Biobío;Tienda;Lavadora;Electrohogar;700000;3;0.0;2100000.0
43;2023-02-13;32;5;254;María González Alfaro;cliente254@mail.cl;Hombre;50.0;Puerto Montt;;Web;Smartphone;Tecnología;450000;2;0.0;900000.0
44;2023-02-14;10;7;41;Romina Cruz;cliente41@mail.cl;Mujer;46.0;Valparaíso;Valparaíso;App;Zapatillas;;55000;3;0.05;156750.0
45;2023-02-15;42;4;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Talcahuano;Biobío;Web;Polera;;12000;1;0.1;10800.0
46;2023-02-16;64;4;68;Laura Peñaloza Díaz;cliente68@mail.cl;Hombre;50.0;Temuco;;Tienda;Refrigerador;Electrohogar;800000;3;0.05;2280000.0
47;2023-02-17;25;3;268;Jaime Toloza Díaz;cliente268@mail.cl;Hombre;20.0;Puerto Montt;Los Lagos;App;Smartphone;Tecnología;450000;3;0.0;1350000.0
48;2023-02-18;37;1;204;Camila Natalia Pérez Arroyo;cliente204@mail.cl;Hombre;50.0;Viña del Mar;Valparaíso;Tienda;Lavadora;Electrohogar;700000;2;0.0;1400000.0
49;2023-02-19;51;7;239;Lidia Tapia;cliente239@mail.cl;Mujer;30.0;Rancagua;;Tienda;Polera;Vestuario;12000;2;0.1;21600.0
50;2023-02-20;10;7;30;Tatiana Claudia Jara Herrera;cliente30@mail.cl;Hombre;34.0;Valparaíso;;Web;Maquillaje;;15000;3;0.0;45000.0
51;2023-02-21;17;0;221;Juan Héctor Castro Silva;cliente221@mail.cl;Mujer;65.0;Santiago;Región Metropolitana;Web;Perfume;;35000;3;0.05;99750.0
52;2023-02-22;20;0;255;Ximena Susana Medina Duarte;cliente255@mail.cl;Hombre;19.0;Temuco;La Araucanía;Web;Smartphone;;450000;2;0.1;810000.0
53;2023-02-23;5;1;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Talcahuano;Biobío;Tienda;Notebook;Tecnología;750000;1;0.0;750000.0
54;2023-02-24;48;6;99;María Lorena Bórquez Rodríguez;cliente99@mail.cl;Hombre;38.0;Valparaíso;;Tienda;Polera;Vestuario;12000;3;0.0;36000.0
55;2023-02-25;60;1;117;Rubén Castillo;cliente117@mail.cl;Mujer;38.0;Valparaíso;Valparaíso;Tienda;Zapatillas;Calzado;55000;3;0.0;165000.0
56;2023-02-26;16;3;186;Laura Mary Sánchez Quintanilla;cliente186@mail.cl;Mujer;46.0;Temuco;;App;Smartphone;Tecnología;450000;1;0.1;405000.0
57;2023-02-27;42;4;261;Carlos Fuentes Vargas;cliente261@mail.cl;Hombre;26.0;Talcahuano;;Tienda;Smartphone;Tecnología;450000;3;0.0;1350000.0
58;2023-02-28;20;0;167;Matilda Denisse Gatica Gutiérrez;cliente167@mail.cl;Mujer;47.0;Temuco;La Araucanía;Web;Refrigerador;;800000;2;0.0;1600000.0
59;2023-03-01;2;2;123;Paulino Vargas Farías;cliente123@mail.cl;Hombre;54.0;Rancagua;;Web;Maquillaje;Belleza;15000;1;0.1;13500.0
60;2023-03-02;61;3;195;Isaac Gutiérrez;cliente195@mail.cl;Mujer;40.0;Concepción;;App;Zapatillas;;55000;3;0.0;165000.0
61;2023-03-03;22;1;196;Darwin Ramón Saavedra Pino;cliente196@mail.cl;Hombre;42.0;Viña del Mar;;Tienda;Polera;Vestuario;12000;1;0.1;10800.0
62;2023-03-04;38;8;249;María Sofía Morales Arellano;cliente249@mail.cl;Mujer;59.0;Concepción;;Web;Perfume;Belleza;35000;2;0.0;70000.0
63;2023-03-05;41;4;184;Jacqueline Amanda Martínez Osorio;cliente184@mail.cl;Hombre;43.0;Antofagasta;Antofagasta;App;TV;Electrohogar;650000;3;0.0;1950000.0
64;2023-03-06;30;0;263;Carolina González Ruiz;cliente263@mail.cl;Mujer;18.0;Valparaíso;Valparaíso;Tienda;Lavadora;Electrohogar;700000;2;0.0;1400000.0
65;2023-03-07;43;0;193;Florinda Josefa Cortés Morales;cliente193@mail.cl;Hombre;40.0;Santiago;;Web;Smartphone;Tecnología;450000;2;0.1;810000.0
66;2023-03-08;56;2;176;Arturo Ángel Corvalán Salazar;cliente176@mail.cl;Mujer;47.0;Talcahuano;Biobío;Web;Perfume;;35000;2;0.0;70000.0
67;2023-03-09;40;1;222;Amanda Gutiérrez;cliente222@mail.cl;Mujer;18.0;Talcahuano;;App;Refrigerador;Electrohogar;800000;3;0.1;2160000.0
68;2023-03-10;42;4;260;Carlos Wladimir Lara Muñoz;cliente260@mail.cl;Mujer;47.0;Talcahuano;;Tienda;Pantalón;;25000;3;0.0;75000.0
69;2023-03-11;30;0;148;Víctor Alejandro Ramírez Soto;cliente148@mail.cl;Hombre;22.0;Valparaíso;Valparaíso;App;Refrigerador;Electrohogar;800000;2;0.1;1440000.0
70;2023-03-12;41;4;103;Raquel Guadalupe Canales Maturana;cliente103@mail.cl;Hombre;33.0;Antofagasta;;App;Polera;;12000;1;0.05;11400.0
71;2023-03-13;14;0;44;Humberto José Rivera Leiva;cliente44@mail.cl;Hombre;34.0;Santiago;;Tienda;Lavadora;Electrohogar;700000;3;0.0;2100000.0
72;2023-03-14;35;1;165;Clara Rosa Aros Guerrero;cliente165@mail.cl;Mujer;49.0;Antofagasta;Antofagasta;Tienda;TV;Electrohogar;650000;2;0.1;1170000.0
73;2023-03-15;68;2;144;Rolando Patricio Muñoz Barría;cliente144@mail.cl;Mujer;40.0;Santiago;Región Metropolitana;Tienda;Notebook;Tecnología;750000;2;0.0;1500000.0
74;2023-03-16;33;13;26;Felipe Daniel González Salinas;cliente26@mail.cl;Mujer;39.0;Rancagua;O'Higgins;Tienda;Notebook;;750000;2;0.0;1500000.0
75;2023-03-17;43;0;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Santiago;;App;Maquillaje;Belleza;15000;1;0.0;15000.0
76;2023-03-18;3;1;137;José Juan Vargas Vega;cliente137@mail.cl;Hombre;28.0;Valparaíso;Valparaíso;App;TV;Electrohogar;650000;3;0.0;1950000.0
77;2023-03-19;15;0;162;Francisco Ramírez Faúndez;cliente162@mail.cl;Mujer;47.0;Santiago;Región Metropolitana;App;TV;;650000;3;0.0;1950000.0
78;2023-03-20;65;0;110;Flavia Estela Cruz Castro;cliente110@mail.cl;Mujer;37.0;Rancagua;;Web;Refrigerador;;800000;1;0.1;720000.0
79;2023-03-21;16;3;226;Carol Adelina Maldonado Saavedra;cliente226@mail.cl;Hombre;51.0;Temuco;La Araucanía;Web;Perfume;;35000;1;0.0;35000.0
80;2023-03-22;39;6;121;Constanza Osorio;cliente121@mail.cl;Hombre;47.0;Antofagasta;Antofagasta;Tienda;TV;Electrohogar;650000;2;0.1;1170000.0
81;2023-03-23;23;0;221;Juan Héctor Castro Silva;cliente221@mail.cl;Mujer;65.0;Concepción;;App;Zapatillas;Calzado;55000;3;0.0;165000.0
82;2023-03-24;54;9;145;Gaspar Oscar Concha Torres;cliente145@mail.cl;Hombre;41.0;Talcahuano;;App;Notebook;;750000;3;0.0;2250000.0
83;2023-03-25;26;6;80;Pedro Ramón Serrano Ibáñez;cliente80@mail.cl;Mujer;18.0;Rancagua;;App;Zapatillas;Calzado;55000;3;0.05;156750.0
84;2023-03-26;39;6;68;Laura Peñaloza Díaz;cliente68@mail.cl;Hombre;50.0;Antofagasta;;Tienda;Notebook;Tecnología;750000;2;0.1;1350000.0
85;2023-03-27;47;1;38;Christian Francisco Rojas Oyarzo;cliente38@mail.cl;Hombre;18.0;Viña del Mar;;Tienda;Smartphone;Tecnología;450000;1;0.1;405000.0
86;2023-03-28;67;0;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Talcahuano;;Web;Refrigerador;Electrohogar;800000;1;0.0;800000.0
87;2023-03-29;2;2;58;Rossana Flores;cliente58@mail.cl;Hombre;34.0;Rancagua;O'Higgins;Tienda;Smartphone;;450000;2;0.05;855000.0
88;2023-03-30;68;2;125;Martín Jorge Vergara Sáez;cliente125@mail.cl;Mujer;45.0;Santiago;;Tienda;Pantalón;Vestuario;25000;1;0.0;25000.0
89;2023-03-31;70;6;104;María Anahí Mella Carrasco;cliente104@mail.cl;Mujer;28.0;Talcahuano;Biobío;App;Zapatillas;;55000;3;0.0;165000.0
90;2023-04-01;31;4;205;Mauricio Paul Gajardo Córdova;cliente205@mail.cl;Hombre;21.0;Rancagua;O'Higgins;Tienda;Notebook;Tecnología;750000;3;0.0;2250000.0
91;2023-04-02;6;2;103;Raquel Guadalupe Canales Maturana;cliente103@mail.cl;Hombre;33.0;Concepción;;Tienda;Polera;Vestuario;12000;3;0.05;34200.0
92;2023-04-03;51;7;130;María Palacios;cliente130@mail.cl;Hombre;31.0;Rancagua;;Web;TV;;650000;3;0.05;1852500.0
93;2023-04-04;16;3;86;Rudecindo Cares;cliente86@mail.cl;Hombre;31.0;Temuco;La Araucanía;Tienda;TV;Electrohogar;650000;2;0.05;1235000.0
94;2023-04-05;62;4;95;Leonor Corvalán;cliente95@mail.cl;Mujer;33.0;Puerto Montt;;Tienda;Refrigerador;Electrohogar;800000;2;0.05;1520000.0
95;2023-04-06;5;1;1;Ana Martinez García;cliente1@mail.cl;Hombre;43.0;Talcahuano;Biobío;Web;Notebook;Tecnología;750000;2;0.0;1500000.0
96;2023-04-07;34;1;167;Matilda Denisse Gatica Gutiérrez;cliente167@mail.cl;Mujer;47.0;Concepción;Biobío;Web;Zapatillas;Calzado;55000;2;0.05;104500.0
97;2023-04-08;51;7;4;César Carlos Espinoza Uribe;cliente4@mail.cl;Hombre;56.0;Rancagua;O'Higgins;Web;Pantalón;;25000;2;0.0;50000.0
98;2023-04-09;6;2;61;Ingrid María Velásquez Herrera;cliente61@mail.cl;Mujer;32.0;Concepción;Biobío;Web;TV;Electrohogar;650000;1;0.0;650000.0
99;2023-04-10;28;5;6;Yaritza Quiroga Martínez;cliente6@mail.cl;Mujer;35.0;Viña del Mar;;Tienda;Zapatillas;;55000;2;0.05;104500.0
100;2023-04-11;50;0;35;Melania Jessica Urrutia Palacios;cliente35@mail.cl;Mujer;47.0;Temuco;;Web;Smartphone;Tecnología;450000;2;0.1;810000.0
101;2023-04-12;39;6;274;Guillermo Oscar Cid Díaz;cliente274@mail.cl;Mujer;38.0;Antofagasta;Antofagasta;App;Maquillaje;;15000;2;0.05;28500.0
102;2023-04-13;54;9;105;Claudio Diego Cisterna Rojas;cliente105@mail.cl;Hombre;36.0;Talcahuano;Biobío;Tienda;Smartphone;;450000;1;0.1;405000.0
103;2023-04-14;55;9;169;Antonella Julia Urrutia Oyarzo;cliente169@mail.cl;Mujer;35.0;Antofagasta;Antofagasta;Tienda;Perfume;Belleza;35000;1;0.05;33250.0
104;2023-04-15;9;9;64;Arnoldo Anselmo Cubillos Veloso;cliente64@mail.cl;Hombre;23.0;Valparaíso;;Tienda;Maquillaje;Belleza;15000;3;0.05;42750.0
105;2023-04-16;47;1;53;Eduardo Manuel Morales Riffo;cliente53@mail.cl;Mujer;29.0;Viña del Mar;Valparaíso;Web;TV;;650000;1;0.0;650000.0
106;2023-04-17;21;5;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;Puerto Montt;;Tienda;Zapatillas;;55000;3;0.0;165000.0
107;2023-04-18;2;2;256;Ulises Bruno Gallardo Piña;cliente256@mail.cl;Hombre;32.0;Rancagua;O'Higgins;App;Perfume;;35000;1;0.0;35000.0
108;2023-04-19;58;1;75;Máximo Pablo Leal Romero;cliente75@mail.cl;Hombre;18.0;Puerto Montt;Los Lagos;App;Pantalón;Vestuario;25000;2;0.0;50000.0
109;2023-04-20;47;1;109;Lucas Miguel San Martín Catalán;cliente109@mail.cl;Hombre;41.0;Viña del Mar;Valparaíso;Web;Perfume;Belleza;35000;3;0.0;105000.0
110;2023-04-21;50;0;216;Víctor Raúl Ibarra Paredes;cliente216@mail.cl;Hombre;47.0;Temuco;La Araucanía;Tienda;Refrigerador;Electrohogar;800000;2;0.0;1600000.0
111;2023-04-22;68;2;97;Tatiana Catalina Gutiérrez Quiroz;cliente97@mail.cl;Mujer;41.0;Santiago;;Web;Maquillaje;Belleza;15000;3;0.0;45000.0
112;2023-04-23;25;3;67;Francisca Valenzuela Pavez;cliente67@mail.cl;Hombre;37.0;Puerto Montt;Los Lagos;Web;Refrigerador;;800000;3;0.0;2400000.0
113;2023-04-24;56;2;225;Berta Huerta García;cliente225@mail.cl;Hombre;32.0;Talcahuano;Biobío;Web;Smartphone;;450000;2;0.1;810000.0
114;2023-04-25;38;8;37;Alejandro Rodrigo Toro Espinoza;cliente37@mail.cl;Hombre;40.0;Concepción;Biobío;App;Zapatillas;;55000;1;0.1;49500.0
115;2023-04-26;51;7;267;Angélica Reyes;cliente267@mail.cl;Mujer;57.0;Rancagua;O'Higgins;App;Pantalón;Vestuario;25000;3;0.1;67500.0
116;2023-04-27;63;5;278;Gloria Durán;cliente278@mail.cl;Hombre;30.0;Rancagua;;Tienda;Polera;Vestuario;12000;3;0.05;34200.0
117;2023-04-28;51;7;202;Héctor Ramírez;cliente202@mail.cl;Mujer;44.0;Rancagua;O'Higgins;Web;TV;Electrohogar;650000;1;0.05;617500.0
118;2023-04-29;51;7;45;Miguel Roberto Villagrán Iturra;cliente45@mail.cl;Hombre;20.0;Rancagua;O'Higgins;Web;Perfume;Belleza;35000;1;0.1;31500.0
119;2023-04-30;34;1;116;Daniel Alejandro Rivera Ibarra;cliente116@mail.cl;Mujer;41.0;Concepción;;Web;Pantalón;;25000;1;0.1;22500.0
120;2023-05-01;12;0;225;Berta Huerta García;cliente225@mail.cl;Hombre;32.0;Viña del Mar;Valparaíso;App;Zapatillas;Calzado;55000;3;0.0;165000.0
121;2023-05-02;66;2;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Talcahuano;;Tienda;Zapatillas;Calzado;55000;2;0.1;99000.0
122;2023-05-03;22;1;224;Lorenza Ramírez Espinoza;cliente224@mail.cl;Hombre;18.0;Viña del Mar;Valparaíso;App;Maquillaje;;15000;1;0.1;13500.0
123;2023-05-04;28;5;206;Rodrigo Cornejo Aranda;cliente206@mail.cl;Mujer;26.0;Viña del Mar;Valparaíso;Tienda;Smartphone;Tecnología;450000;2;0.1;810000.0
124;2023-05-05;9;9;18;Vanessa Emilia Osorio Saavedra;cliente18@mail.cl;Mujer;41.0;Valparaíso;Valparaíso;Tienda;Polera;Vestuario;12000;3;0.1;32400.0
125;2023-05-06;19;5;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Temuco;La Araucanía;Tienda;Perfume;;35000;3;0.05;99750.0
126;2023-05-07;31;4;72;Luis Gabriel Barrera Castillo;cliente72@mail.cl;Hombre;56.0;Rancagua;;Web;Refrigerador;;800000;2;0.1;1440000.0
127;2023-05-08;37;1;40;Elizabeth Meléndez Pacheco;cliente40@mail.cl;Hombre;40.0;Viña del Mar;Valparaíso;Tienda;Zapatillas;Calzado;55000;1;0.0;55000.0
128;2023-05-09;27;4;88;Alexi Ignacio Azócar Chávez;cliente88@mail.cl;Hombre;41.0;Viña del Mar;Valparaíso;Tienda;Notebook;Tecnología;750000;2;0.0;1500000.0
129;2023-05-10;2;2;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Rancagua;O'Higgins;Tienda;Zapatillas;Calzado;55000;1;0.0;55000.0
130;2023-05-11;59;1;237;Carlos Pérez;cliente237@mail.cl;Hombre;18.0;Antofagasta;;Tienda;Smartphone;Tecnología;450000;3;0.05;1282500.0
131;2023-05-12;47;1;147;Alfredo Vega;cliente147@mail.cl;Mujer;23.0;Viña del Mar;;Tienda;Maquillaje;Belleza;15000;2;0.0;30000.0
132;2023-05-13;53;1;195;Isaac Gutiérrez;cliente195@mail.cl;Mujer;40.0;Puerto Montt;;Web;Polera;Vestuario;12000;2;0.1;21600.0
133;2023-05-14;49;1;104;María Anahí Mella Carrasco;cliente104@mail.cl;Mujer;28.0;Antofagasta;Antofagasta;Web;Smartphone;;450000;1;0.0;450000.0
134;2023-05-15;12;0;188;Felipe Cofré Molina;cliente188@mail.cl;Mujer;37.0;Viña del Mar;;Tienda;Notebook;Tecnología;750000;3;0.05;2137500.0
135;2023-05-16;1;8;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Santiago;Región Metropolitana;Tienda;Refrigerador;;800000;1;0.0;800000.0
136;2023-05-17;18;1;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Talcahuano;Biobío;Web;Polera;;12000;3;0.0;36000.0
137;2023-05-18;22;1;13;Samuel Arias Gatica;cliente13@mail.cl;Mujer;40.0;Viña del Mar;Valparaíso;App;Zapatillas;Calzado;55000;1;0.1;49500.0
138;2023-05-19;56;2;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Talcahuano;;App;TV;;650000;1;0.0;650000.0
139;2023-05-20;25;3;160;Mónica Araya Álvarez;cliente160@mail.cl;Mujer;45.0;Puerto Montt;Los Lagos;Web;Polera;Vestuario;12000;1;0.1;10800.0
140;2023-05-21;8;1;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Puerto Montt;Los Lagos;App;Notebook;Tecnología;750000;2;0.1;1350000.0
141;2023-05-22;44;7;64;Arnoldo Anselmo Cubillos Veloso;cliente64@mail.cl;Hombre;23.0;Antofagasta;Antofagasta;Web;Polera;Vestuario;12000;3;0.05;34200.0
142;2023-05-23;33;13;248;Ian Dante Tapia Pereira;cliente248@mail.cl;Hombre;30.0;Rancagua;O'Higgins;App;Notebook;;750000;1;0.05;712500.0
143;2023-05-24;4;3;142;Hilda Javiera Cofré Lucero;cliente142@mail.cl;Hombre;53.0;Concepción;Biobío;Tienda;Pantalón;;25000;3;0.1;67500.0
144;2023-05-25;8;1;22;Laura Aguilera Orellana;cliente22@mail.cl;Hombre;35.0;Puerto Montt;Los Lagos;Tienda;TV;Electrohogar;650000;3;0.0;1950000.0
145;2023-05-26;10;7;163;Carlos David Miranda Cifuentes;cliente163@mail.cl;Hombre;51.0;Valparaíso;;App;Perfume;Belleza;35000;3;0.0;105000.0
146;2023-05-27;18;1;247;Emilia Consuelo González Vallejos;cliente247@mail.cl;Mujer;32.0;Talcahuano;Biobío;Web;Refrigerador;Electrohogar;800000;3;0.0;2400000.0
147;2023-05-28;39;6;101;Andrea Josefina Galaz Ríos;cliente101@mail.cl;Mujer;21.0;Antofagasta;Antofagasta;Web;Polera;Vestuario;12000;2;0.0;24000.0
148;2023-05-29;18;1;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;Talcahuano;;App;Refrigerador;Electrohogar;800000;3;0.05;2280000.0
149;2023-05-30;25;3;185;Yasna Colomba Olivares Prieto;cliente185@mail.cl;Hombre;35.0;Puerto Montt;Los Lagos;App;Polera;Vestuario;12000;1;0.0;12000.0
150;2023-05-31;64;4;157;Nelson Francisco Baeza Fuenzalida;cliente157@mail.cl;Mujer;60.0;Temuco;;Web;Refrigerador;;800000;2;0.05;1520000.0
151;2023-06-01;32;5;120;Carolina Pinto;cliente120@mail.cl;Mujer;47.0;Puerto Montt;Los Lagos;Web;Notebook;Tecnología;750000;2;0.0;1500000.0
152;2023-06-02;57;3;229;Elsa Llanos;cliente229@mail.cl;Hombre;29.0;Concepción;;Web;Zapatillas;Calzado;55000;2;0.05;104500.0
153;2023-06-03;12;0;201;Miguel Avendaño Soto;cliente201@mail.cl;Mujer;42.0;Viña del Mar;Valparaíso;Web;Zapatillas;;55000;3;0.05;156750.0
154;2023-06-04;27;4;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Viña del Mar;Valparaíso;Tienda;Lavadora;;700000;3;0.1;1890000.0
155;2023-06-05;43;0;241;Gloria Leyton;cliente241@mail.cl;Mujer;28.0;Santiago;;Tienda;Lavadora;Electrohogar;700000;3;0.1;1890000.0
156;2023-06-06;63;5;9;Ana Mercado Araya;cliente9@mail.cl;Mujer;32.0;Rancagua;O'Higgins;Web;Pantalón;Vestuario;25000;3;0.0;75000.0
