id_venta;fecha_venta;id_empleado;antiguedad_vendedor;id_cliente;nombre_cliente;email_cliente;genero_cliente;edad_cliente;ciudad_cliente;region_cliente;canal_venta;producto;categoria_producto;precio_unitario;cantidad;descuento_pct
19;20/01/2023;6;2;39;Pablo Franco Saldías Ruiz;cliente39@mail.cl;Hombre;22.0;Concepción;;App;Notebook;Tecnología;750000;1;0.1
20;21/01/2023;46;5;224;Lorenza Ramírez Espinoza;cliente224@mail.cl;Hombre;18.0;La Serena;Coquimbo;Tienda;Perfume;;35000;3;0.1
21;22/01/2023;18;1;172;Manuel Candia Garrido;cliente172@mail.cl;Hombre;28.0;Talcahuano;;Web;Maquillaje;;15000;1;
22;23/01/2023;4;3;40;Elizabeth Meléndez Pacheco;cliente40@mail.cl;Hombre;40.0;Concepción;Biobío;Tienda;Perfume;Belleza;35000;3;0.0
23;24/01/2023;16;3;232;Miguel Araya Segura;cliente232@mail.cl;Hombre;40.0;Temuco;La Araucanía;Tienda;Maquillaje;;15000;1;0.05
24;25/01/2023;4;3;23;Brayan Amaro Araya Valenzuela;cliente23@mail.cl;Mujer;38.0;Concepción;Biobío;Tienda;Perfume;Belleza;35000;3;0.05
25;26/01/2023;52;0;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Talcahuano;;App;Pantalón;;25000;3;0.0
26;27/01/2023;49;1;114;Anahí Araya;cliente114@mail.cl;Mujer;67.0;Antofagasta;Antofagasta;Tienda;Zapatillas;;55000;1;0.1
27;28/01/2023;36;4;252;Mauricio Astorga;cliente252@mail.cl;Mujer;49.0;Rancagua;;App;Polera;Vestuario;12000;1;0.0
28;29/01/2023;70;6;220;Génesis Macarena Venegas Sepúlveda;cliente220@mail.cl;Hombre;38.0;Talcahuano;Biobío;Tienda;Notebook;;750000;2;0.0
29;30/01/2023;62;4;110;Flavia Estela Cruz Castro;cliente110@mail.cl;Mujer;37.0;Puerto Montt;;App;Polera;;12000;2;0.0
30;31/01/2023;63;5;122;Carlos Aranda-Ortiz;cliente122@mail.cl;Mujer;27.0;Rancagua;O'Higgins;App;Perfume;Belleza;35000;3;0.0
31;01/02/2023;45;2;162;Francisco Ramírez Faúndez;cliente162@mail.cl;Mujer;47.0;Talcahuano;Biobío;Web;TV;Electrohogar;650000;1;0.1
32;02/02/2023;65;0;43;Cristóbal Pastén Leal;cliente43@mail.cl;Hombre;36.0;Rancagua;O'Higgins;Web;TV;;650000;2;
33;03/02/2023;12;0;2;Rosa Gaete Castro;cliente2@mail.cl;Hombre;36.0;Viña del Mar;Valparaíso;Tienda;Smartphone;Tecnología;450000;2;0.0
34;04/02/2023;18;1;127;Roberto Moreno Jorquera;cliente127@mail.cl;Mujer;26.0;Talcahuano;;Tienda;Perfume;;35000;1;0.1
35;05/02/2023;19;5;246;Josefa Segura Verdugo;cliente246@mail.cl;Hombre;33.0;Temuco;La Araucanía;Web;Lavadora;Electrohogar;700000;2;
36;06/02/2023;43;0;45;Miguel Roberto Villagrán Iturra;cliente45@mail.cl;Hombre;20.0;Santiago;Región Metropolitana;Tienda;Lavadora;Electrohogar;700000;1;0.0
37;07/02/2023;17;0;50;Jorge Joaquín Sánchez Leiva;cliente50@mail.cl;Hombre;18.0;Santiago;;App;Refrigerador;Electrohogar;800000;1;
38;08/02/2023;24;3;212;Jairo Ian Villanueva Orellana;cliente212@mail.cl;Hombre;51.0;La Serena;Coquimbo;App;Notebook;;750000;3;0.0
39;09/02/2023;20;0;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Temuco;La Araucanía;Web;Notebook;Tecnología;750000;2;0.05
40;10/02/2023;10;7;271;Ana Varela López;cliente271@mail.cl;Mujer;55.0;Valparaíso;;Tienda;TV;Electrohogar;650000;1;
41;11/02/2023;25;3;238;Manuel Rodríguez Pérez;cliente238@mail.cl;Hombre;40.0;Puerto Montt;Los Lagos;Tienda;Perfume;;35000;1;0.0
42;12/02/2023;23;0;102;Vania Evelyn Leyton García;cliente102@mail.cl;Hombre;32.0;Concepción;Biobío;Tienda;Lavadora;Electrohogar;700000;3;0.0
43;13/02/2023;32;5;254;María González Alfaro;cliente254@mail.cl;Hombre;50.0;Puerto Montt;;Web;Smartphone;Tecnología;450000;2;0.0
44;14/02/2023;10;7;41;Romina Cruz;cliente41@mail.cl;Mujer;46.0;Valparaíso;Valparaíso;App;Zapatillas;;55000;3;0.05
45;15/02/2023;42;4;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Talcahuano;Biobío;Web;Polera;;12000;1;0.1
46;16/02/2023;64;4;68;Laura Peñaloza Díaz;cliente68@mail.cl;Hombre;50.0;Temuco;;Tienda;Refrigerador;Electrohogar;800000;3;0.05
47;17/02/2023;25;3;268;Jaime Toloza Díaz;cliente268@mail.cl;Hombre;20.0;Puerto Montt;Los Lagos;App;Smartphone;Tecnología;450000;3;0.0
48;18/02/2023;37;1;204;Camila Natalia Pérez Arroyo;cliente204@mail.cl;Hombre;50.0;Viña del Mar;Valparaíso;Tienda;Lavadora;Electrohogar;700000;2;0.0
49;19/02/2023;51;7;239;Lidia Tapia;cliente239@mail.cl;Mujer;30.0;Rancagua;;Tienda;Polera;Vestuario;12000;2;0.1
50;20/02/2023;10;7;30;Tatiana Claudia Jara Herrera;cliente30@mail.cl;Hombre;34.0;Valparaíso;;Web;Maquillaje;;15000;3;
51;21/02/2023;17;0;221;Juan Héctor Castro Silva;cliente221@mail.cl;Mujer;65.0;Santiago;Región Metropolitana;Web;Perfume;;35000;3;0.05
52;22/02/2023;20;0;255;Ximena Susana Medina Duarte;cliente255@mail.cl;Hombre;19.0;Temuco;La Araucanía;Web;Smartphone;;450000;2;0.1
53;23/02/2023;5;1;132;Jorge Rafael Riquelme Vargas;cliente132@mail.cl;Mujer;38.0;Talcahuano;Biobío;Tienda;Notebook;Tecnología;750000;1;0.0
54;24/02/2023;48;6;99;María Lorena Bórquez Rodríguez;cliente99@mail.cl;Hombre;38.0;Valparaíso;;Tienda;Polera;Vestuario;12000;3;0.0
55;25/02/2023;60;1;117;Rubén Castillo;cliente117@mail.cl;Mujer;;Valparaíso;Valparaíso;Tienda;Zapatillas;Calzado;55000;3;
56;26/02/2023;16;3;186;Laura Mary Sánchez Quintanilla;cliente186@mail.cl;Mujer;46.0;Temuco;;App;Smartphone;Tecnología;450000;1;0.1
57;27/02/2023;42;4;261;Carlos Fuentes Vargas;cliente261@mail.cl;Hombre;26.0;Talcahuano;;Tienda;Smartphone;Tecnología;450000;3;
58;28/02/2023;20;0;167;Matilda Denisse Gatica Gutiérrez;cliente167@mail.cl;Mujer;47.0;Temuco;La Araucanía;Web;Refrigerador;;800000;2;0.0
59;01/03/2023;2;2;123;Paulino Vargas Farías;cliente123@mail.cl;Hombre;54.0;Rancagua;;Web;Maquillaje;Belleza;15000;1;0.1
60;02/03/2023;61;3;195;Isaac Gutiérrez;cliente195@mail.cl;Mujer;40.0;Concepción;;App;Zapatillas;;55000;3;
61;03/03/2023;22;1;196;Darwin Ramón Saavedra Pino;cliente196@mail.cl;Hombre;42.0;Viña del Mar;;Tienda;Polera;Vestuario;12000;1;0.1
62;04/03/2023;38;8;249;María Sofía Morales Arellano;cliente249@mail.cl;Mujer;59.0;Concepción;;Web;Perfume;Belleza;35000;2;0.0
63;05/03/2023;41;4;184;Jacqueline Amanda Martínez Osorio;cliente184@mail.cl;Hombre;43.0;Antofagasta;Antofagasta;App;TV;Electrohogar;650000;3;
64;06/03/2023;30;0;263;Carolina González Ruiz;cliente263@mail.cl;Mujer;18.0;Valparaíso;Valparaíso;Tienda;Lavadora;Electrohogar;700000;2;0.0
65;07/03/2023;43;0;193;Florinda Josefa Cortés Morales;cliente193@mail.cl;Hombre;40.0;Santiago;;Web;Smartphone;Tecnología;450000;2;0.1
66;08/03/2023;56;2;176;Arturo Ángel Corvalán Salazar;cliente176@mail.cl;Mujer;47.0;Talcahuano;Biobío;Web;Perfume;;35000;2;
67;09/03/2023;40;1;222;Amanda Gutiérrez;cliente222@mail.cl;Mujer;18.0;Talcahuano;;App;Refrigerador;Electrohogar;800000;3;0.1
68;10/03/2023;42;4;260;Carlos Wladimir Lara Muñoz;cliente260@mail.cl;Mujer;47.0;Talcahuano;;Tienda;Pantalón;;25000;3;0.0
69;11/03/2023;30;0;148;Víctor Alejandro Ramírez Soto;cliente148@mail.cl;Hombre;22.0;Valparaíso;Valparaíso;App;Refrigerador;Electrohogar;800000;2;0.1
70;12/03/2023;41;4;103;Raquel Guadalupe Canales Maturana;cliente103@mail.cl;Hombre;33.0;Antofagasta;;App;Polera;;12000;1;0.05
71;13/03/2023;14;0;44;Humberto José Rivera Leiva;cliente44@mail.cl;Hombre;34.0;Santiago;;Tienda;Lavadora;Electrohogar;700000;3;
72;14/03/2023;35;1;165;Clara Rosa Aros Guerrero;cliente165@mail.cl;Mujer;49.0;Antofagasta;Antofagasta;Tienda;TV;Electrohogar;650000;2;0.1
73;15/03/2023;68;2;144;Rolando Patricio Muñoz Barría;cliente144@mail.cl;Mujer;40.0;Santiago;RM;Tienda;Notebook;Tecnología;750000;2;0.0
74;16/03/2023;33;13;26;Felipe Daniel González Salinas;cliente26@mail.cl;Mujer;39.0;Rancagua;O'Higgins;Tienda;Notebook;;750000;2;0.0
75;17/03/2023;43;0;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Santiago;;App;Maquillaje;Belleza;15000;1;
76;18/03/2023;3;1;137;José Juan Vargas Vega;cliente137@mail.cl;Hombre;28.0;Valparaíso;Valparaíso;App;TV;Electrohogar;650000;3;0.0
77;19/03/2023;15;0;162;Francisco Ramírez Faúndez;cliente162@mail.cl;Mujer;47.0;Santiago;Región Metropolitana;App;TV;;650000;3;
78;20/03/2023;65;0;110;Flavia Estela Cruz Castro;cliente110@mail.cl;Mujer;37.0;Rancagua;;Web;Refrigerador;;800000;1;0.1
79;21/03/2023;16;3;226;Carol Adelina Maldonado Saavedra;cliente226@mail.cl;Hombre;51.0;Temuco;La Araucanía;Web;Perfume;;35000;1;
80;22/03/2023;39;6;121;Constanza Osorio;cliente121@mail.cl;Hombre;47.0;Antofagasta;Antofagasta;Tienda;TV;Electrohogar;650000;2;0.1
81;23/03/2023;23;0;221;Juan Héctor Castro Silva;cliente221@mail.cl;Mujer;65.0;Concepción;;App;Zapatillas;Calzado;55000;3;0.0
82;24/03/2023;54;9;145;Gaspar Oscar Concha Torres;cliente145@mail.cl;Hombre;41.0;Talcahuano;;App;Notebook;;750000;3;
83;25/03/2023;26;6;80;Pedro Ramón Serrano Ibáñez;cliente80@mail.cl;Mujer;18.0;Rancagua;;App;Zapatillas;Calzado;55000;3;0.05
84;26/03/2023;39;6;68;Laura Peñaloza Díaz;cliente68@mail.cl;Hombre;50.0;Antofagasta;;Tienda;Notebook;Tecnología;750000;2;0.1
85;27/03/2023;47;1;38;Christian Francisco Rojas Oyarzo;cliente38@mail.cl;Hombre;18.0;Viña del Mar;;Tienda;Smartphone;Tecnología;450000;1;0.1
86;28/03/2023;67;0;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Talcahuano;;Web;Refrigerador;Electrohogar;800000;1;0.0
87;29/03/2023;2;2;58;Rossana Flores;cliente58@mail.cl;Hombre;34.0;Rancagua;O'Higgins;Tienda;Smartphone;;450000;2;0.05
88;30/03/2023;68;2;125;Martín Jorge Vergara Sáez;cliente125@mail.cl;Mujer;45.0;Santiago;;Tienda;Pantalón;Vestuario;25000;1;0.0
89;31/03/2023;70;6;104;María Anahí Mella Carrasco;cliente104@mail.cl;Mujer;28.0;Talcahuano;Biobío;App;Zapatillas;;55000;3;0.0
90;01/04/2023;31;4;205;Mauricio Paul Gajardo Córdova;cliente205@mail.cl;Hombre;21.0;Rancagua;O'Higgins;Tienda;Notebook;Tecnología;750000;3;
91;02/04/2023;6;2;103;Raquel Guadalupe Canales Maturana;cliente103@mail.cl;Hombre;33.0;Concepción;;Tienda;Polera;Vestuario;12000;3;0.05
92;03/04/2023;51;7;130;María Palacios;cliente130@mail.cl;Hombre;31.0;Rancagua;;Web;TV;;650000;3;0.05
93;04/04/2023;16;3;86;Rudecindo Cares;cliente86@mail.cl;Hombre;31.0;Temuco;La Araucanía;Tienda;TV;Electrohogar;650000;2;0.05
94;05/04/2023;62;4;95;Leonor Corvalán;cliente95@mail.cl;Mujer;33.0;Puerto Montt;;Tienda;Refrigerador;Electrohogar;800000;2;0.05
95;06/04/2023;5;1;1;Ana Martinez García;cliente1@mail.cl;Hombre;43.0;Talcahuano;Biobío;Web;Notebook;Tecnología;750000;2;
96;07/04/2023;34;1;167;Matilda Denisse Gatica Gutiérrez;cliente167@mail.cl;Mujer;47.0;Concepción;Biobío;Web;Zapatillas;Calzado;55000;2;0.05
97;08/04/2023;51;7;4;César Carlos Espinoza Uribe;cliente4@mail.cl;Hombre;56.0;Rancagua;O'Higgins;Web;Pantalón;;25000;2;0.0
98;09/04/2023;6;2;61;Ingrid María Velásquez Herrera;cliente61@mail.cl;Mujer;32.0;Concepción;Biobío;Web;TV;Electrohogar;650000;1;0.0
99;10/04/2023;28;5;6;Yaritza Quiroga Martínez;cliente6@mail.cl;Mujer;35.0;Viña del Mar;;Tienda;Zapatillas;;55000;2;0.05
100;11/04/2023;50;0;35;Melania Jessica Urrutia Palacios;cliente35@mail.cl;Mujer;47.0;Temuco;;Web;Smartphone;Tecnología;450000;2;0.1
101;12/04/2023;39;6;274;Guillermo Oscar Cid Díaz;cliente274@mail.cl;Mujer;38.0;Antofagasta;Antofagasta;App;Maquillaje;;15000;2;0.05
102;13/04/2023;54;9;105;Claudio Diego Cisterna Rojas;cliente105@mail.cl;Hombre;36.0;Talcahuano;Biobío;Tienda;Smartphone;;450000;1;0.1
103;14/04/2023;55;9;169;Antonella Julia Urrutia Oyarzo;cliente169@mail.cl;Mujer;35.0;Antofagasta;Antofagasta;Tienda;Perfume;Belleza;35000;1;0.05
104;15/04/2023;9;9;64;Arnoldo Anselmo Cubillos Veloso;cliente64@mail.cl;Hombre;23.0;Valparaíso;;Tienda;Maquillaje;Belleza;15000;3;0.05
105;16/04/2023;47;1;53;Eduardo Manuel Morales Riffo;cliente53@mail.cl;Mujer;29.0;Viña del Mar;Valparaíso;Web;TV;;650000;1;0.0
106;17/04/2023;21;5;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;Puerto Montt;;Tienda;Zapatillas;;55000;3;
107;18/04/2023;2;2;256;Ulises Bruno Gallardo Piña;cliente256@mail.cl;Hombre;32.0;Rancagua;O'Higgins;App;Perfume;;35000;1;0.0
108;19/04/2023;58;1;75;Máximo Pablo Leal Romero;cliente75@mail.cl;Hombre;18.0;Puerto Montt;Los Lagos;App;Pantalón;Vestuario;25000;2;0.0
109;20/04/2023;47;1;109;Lucas Miguel San Martín Catalán;cliente109@mail.cl;Hombre;41.0;Viña del Mar;Valparaíso;Web;Perfume;Belleza;35000;3;0.0
110;21/04/2023;50;0;216;Víctor Raúl Ibarra Paredes;cliente216@mail.cl;Hombre;47.0;Temuco;La Araucanía;Tienda;Refrigerador;Electrohogar;800000;2;
111;22/04/2023;68;2;97;Tatiana Catalina Gutiérrez Quiroz;cliente97@mail.cl;Mujer;41.0;Santiago;;Web;Maquillaje;Belleza;15000;3;0.0
112;23/04/2023;25;3;67;Francisca Valenzuela Pavez;cliente67@mail.cl;Hombre;37.0;Puerto Montt;Los Lagos;Web;Refrigerador;;800000;3;0.0
113;24/04/2023;56;2;225;Berta Huerta García;cliente225@mail.cl;Hombre;32.0;Talcahuano;Biobío;Web;Smartphone;;450000;2;0.1
114;25/04/2023;38;8;37;Alejandro Rodrigo Toro Espinoza;cliente37@mail.cl;Hombre;40.0;Concepción;Biobío;App;Zapatillas;;55000;1;0.1
115;26/04/2023;51;7;267;Angélica Reyes;cliente267@mail.cl;Mujer;57.0;Rancagua;O'Higgins;App;Pantalón;Vestuario;25000;3;0.1
116;27/04/2023;63;5;278;Gloria Durán;cliente278@mail.cl;Hombre;30.0;Rancagua;;Tienda;Polera;Vestuario;12000;3;0.05
117;28/04/2023;51;7;202;Héctor Ramírez;cliente202@mail.cl;Mujer;44.0;Rancagua;O'Higgins;Web;TV;Electrohogar;650000;1;0.05
118;29/04/2023;51;7;45;Miguel Roberto Villagrán Iturra;cliente45@mail.cl;Hombre;20.0;Rancagua;O'Higgins;Web;Perfume;Belleza;35000;1;0.1
119;30/04/2023;34;1;116;Daniel Alejandro Rivera Ibarra;cliente116@mail.cl;Mujer;41.0;Concepción;;Web;Pantalón;;25000;1;0.1
120;01/05/2023;12;0;225;Berta Huerta García;cliente225@mail.cl;Hombre;32.0;Viña del Mar;Valparaíso;App;Zapatillas;Calzado;55000;3;
121;02/05/2023;66;2;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Talcahuano;;Tienda;Zapatillas;Calzado;55000;2;0.1
122;03/05/2023;22;1;224;Lorenza Ramírez Espinoza;cliente224@mail.cl;Hombre;18.0;Viña del Mar;Valparaíso;App;Maquillaje;;15000;1;0.1
123;04/05/2023;28;5;206;Rodrigo Cornejo Aranda;cliente206@mail.cl;Mujer;26.0;Viña del Mar;Valparaíso;Tienda;Smartphone;Tecnología;450000;2;0.1
124;05/05/2023;9;9;18;Vanessa Emilia Osorio Saavedra;cliente18@mail.cl;Mujer;41.0;Valparaíso;Valparaíso;Tienda;Polera;Vestuario;12000;3;0.1
125;06/05/2023;19;5;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Temuco;La Araucanía;Tienda;Perfume;;35000;3;0.05
126;07/05/2023;31;4;72;Luis Gabriel Barrera Castillo;cliente72@mail.cl;Hombre;56.0;Rancagua;;Web;Refrigerador;;800000;2;0.1
127;08/05/2023;37;1;40;Elizabeth Meléndez Pacheco;cliente40@mail.cl;Hombre;40.0;Viña del Mar;Valparaíso;Tienda;Zapatillas;Calzado;55000;1;
128;09/05/2023;27;4;88;Alexi Ignacio Azócar Chávez;cliente88@mail.cl;Hombre;41.0;Viña del Mar;Valparaíso;Tienda;Notebook;Tecnología;750000;2;
129;10/05/2023;2;2;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Rancagua;O'Higgins;Tienda;Zapatillas;Calzado;55000;1;0.0
130;11/05/2023;59;1;237;Carlos Pérez;cliente237@mail.cl;Hombre;18.0;Antofagasta;;Tienda;Smartphone;Tecnología;450000;3;0.05
131;12/05/2023;47;1;147;Alfredo Vega;cliente147@mail.cl;Mujer;23.0;Viña del Mar;;Tienda;Maquillaje;Belleza;15000;2;0.0
132;13/05/2023;53;1;195;Isaac Gutiérrez;cliente195@mail.cl;Mujer;40.0;Puerto Montt;;Web;Polera;Vestuario;12000;2;0.1
133;14/05/2023;49;1;104;María Anahí Mella Carrasco;cliente104@mail.cl;Mujer;28.0;Antofagasta;Antofagasta;Web;Smartphone;;450000;1;
134;15/05/2023;12;0;188;Felipe Cofré Molina;cliente188@mail.cl;Mujer;37.0;Viña del Mar;;Tienda;Notebook;Tecnología;750000;3;0.05
135;16/05/2023;1;8;191;Claudio Rodrigo Mancilla Sáez;cliente191@mail.cl;Mujer;32.0;Santiago;Metropolitana;Tienda;Refrigerador;;800000;1;0.0
136;17/05/2023;18;1;234;Sebastián Hormazábal Sepúlveda;cliente234@mail.cl;Mujer;30.0;Talcahuano;Biobío;Web;Polera;;12000;3;0.0
137;18/05/2023;22;1;13;Samuel Arias Gatica;cliente13@mail.cl;Mujer;40.0;Viña del Mar;Valparaíso;App;Zapatillas;Calzado;55000;1;0.1
138;19/05/2023;56;2;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Talcahuano;;App;TV;;650000;1;
139;20/05/2023;25;3;160;Mónica Araya Álvarez;cliente160@mail.cl;Mujer;45.0;Puerto Montt;Los Lagos;Web;Polera;Vestuario;12000;1;0.1
140;21/05/2023;8;1;69;Raquel Silva Méndez;cliente69@mail.cl;Mujer;42.0;Puerto Montt;Los Lagos;App;Notebook;Tecnología;750000;2;0.1
141;22/05/2023;44;7;64;Arnoldo Anselmo Cubillos Veloso;cliente64@mail.cl;Hombre;23.0;Antofagasta;Antofagasta;Web;Polera;Vestuario;12000;3;0.05
142;23/05/2023;33;13;248;Ian Dante Tapia Pereira;cliente248@mail.cl;Hombre;30.0;Rancagua;O'Higgins;App;Notebook;;750000;1;0.05
143;24/05/2023;4;3;142;Hilda Javiera Cofré Lucero;cliente142@mail.cl;Hombre;53.0;Concepción;Biobío;Tienda;Pantalón;;25000;3;0.1
144;25/05/2023;8;1;22;Laura Aguilera Orellana;cliente22@mail.cl;Hombre;35.0;Puerto Montt;Los Lagos;Tienda;TV;Electrohogar;650000;3;0.0
145;26/05/2023;10;7;163;Carlos David Miranda Cifuentes;cliente163@mail.cl;Hombre;51.0;Valparaíso;;App;Perfume;Belleza;35000;3;
146;27/05/2023;18;1;247;Emilia Consuelo González Vallejos;cliente247@mail.cl;Mujer;32.0;Talcahuano;Biobío;Web;Refrigerador;Electrohogar;800000;3;0.0
147;28/05/2023;39;6;101;Andrea Josefina Galaz Ríos;cliente101@mail.cl;Mujer;21.0;Antofagasta;Antofagasta;Web;Polera;Vestuario;12000;2;
148;29/05/2023;18;1;228;Eladio Sandro Gaete Salazar;cliente228@mail.cl;Mujer;25.0;Talcahuano;;App;Refrigerador;Electrohogar;800000;3;0.05
149;30/05/2023;25;3;185;Yasna Colomba Olivares Prieto;cliente185@mail.cl;Hombre;35.0;Puerto Montt;Los Lagos;App;Polera;Vestuario;12000;1;0.0
150;31/05/2023;64;4;157;Nelson Francisco Baeza Fuenzalida;cliente157@mail.cl;Mujer;60.0;Temuco;;Web;Refrigerador;;800000;2;0.05
151;01/06/2023;32;5;120;Carolina Pinto;cliente120@mail.cl;Mujer;47.0;Puerto Montt;Los Lagos;Web;Notebook;Tecnología;750000;2;0.0
152;02/06/2023;57;3;229;Elsa Llanos;cliente229@mail.cl;Hombre;29.0;Concepción;;Web;Zapatillas;Calzado;55000;2;0.05
153;03/06/2023;12;0;201;Miguel Avendaño Soto;cliente201@mail.cl;Mujer;42.0;Viña del Mar;Valparaíso;Web;Zapatillas;;55000;3;0.05
154;04/06/2023;27;4;178;Emiliano Hernández Castillo;cliente178@mail.cl;Mujer;55.0;Viña del Mar;Valparaíso;Tienda;Lavadora;;700000;3;0.1
155;05/06/2023;43;0;241;Gloria Leyton;cliente241@mail.cl;Mujer;28.0;Santiago;;Tienda;Lavadora;Electrohogar;700000;3;0.1
156;06/06/2023;63;5;9;Ana Mercado Araya;cliente9@mail.cl;Mujer;32.0;Rancagua;O'Higgins;Web;Pantalón;Vestuario;25000;3;0.0
157;07/06/2023;64;4;125;Martín Jorge Vergara Sáez;cliente125@mail.cl;Mujer;45.0;Temuco;La Araucanía;Web;TV;Electrohogar;650000;3;0.1
158;08/06/2023;41;4;34;Omar Maximiliano Molina Fuentes;cliente34@mail.cl;Mujer;25.0;Antofagasta;;Tienda;TV;Electrohogar;650000;2;0.1
159;09/06/2023;40;1;174;Alfonso José Sáez Barrientos;cliente174@mail.cl;Mujer;42.0;Talcahuano;;Tienda;TV;;650000;2;
160;10/06/2023;58;1;219;Víctor Matamala;cliente219@mail.cl;Mujer;32.0;Puerto Montt;Los Lagos;Web;TV;;650000;1;0.1
161;11/06/2023;27;4;60;Bárbara Molina Aranda;cliente60@mail.cl;Hombre;49.0;Viña del Mar;Valparaíso;Web;Notebook;Tecnología;750000;2;0.05
162;12/06/2023;47;1;227;Franklin Torres Pastén;cliente227@mail.cl;Mujer;38.0;Viña del Mar;Valparaíso;Tienda;Notebook;;750000;1;
163;13/06/2023;28;5;118;Juana Morales Novoa;cliente118@mail.cl;Mujer;23.0;Viña del Mar;;App;Perfume;;35000;1;0.0
164;14/06/2023;30;0;211;Patricio Gonzalo Toledo Arce;cliente211@mail.cl;Hombre;44.0;Valparaíso;Valparaíso;Tienda;Zapatillas;Calzado;55000;2;0.05
165;15/06/2023;48;6;71;Juan Rivera;cliente71@mail.cl;Mujer;42.0;Valparaíso;Valparaíso;Tienda;Polera;Vestuario;12000;3;0.1
166;16/06/2023;5;1;267;Angélica Reyes;cliente267@mail.cl;Mujer;57.0;Talcahuano;Biobío;Web;Pantalón;Vestuario;25000;3;
167;17/06/2023;4;3;213;Germán Bustamante Valenzuela;cliente213@mail.cl;Mujer;49.0;Concepción;Biobío;Web;TV;Electrohogar;650000;1;
168;18/06/2023;40;1;76;Benjamín Fernando Olea Retamal;cliente76@mail.cl;Hombre;47.0;Talcahuano;Biobío;App;Refrigerador;;800000;3;0.1
